Service_ID,Internet_Service_ID,Online_Security,Online_Backup,Device_Pro_Plan,Premium_TSupport,Streaming_TV,Streaming_Movies,Streaming_Music,Unlimited_Data
301011001,3,0,1,0,1,1,0,0,1
300000110,3,0,0,0,0,0,1,1,0
200100001,2,0,0,1,0,0,0,0,1
201101101,2,0,1,1,0,1,1,0,1
200011001,2,0,0,0,1,1,0,0,1
300011111,3,0,0,0,1,1,1,1,1
211111111,2,1,1,1,1,1,1,1,1
210010000,2,1,0,0,1,0,0,0,0
110000001,1,1,0,0,0,0,0,0,1
311111111,3,1,1,1,1,1,1,1,1
310011001,3,1,0,0,1,1,0,0,1
200000001,2,0,0,0,0,0,0,0,1
211101001,2,1,1,1,0,1,0,0,1
111110001,1,1,1,1,1,0,0,0,1
201100111,2,0,1,1,0,0,1,1,1
110111111,1,1,0,1,1,1,1,1,1
110100101,1,1,0,1,0,0,1,0,1
300000001,3,0,0,0,0,0,0,0,1
400000000,4,0,0,0,0,0,0,0,0
201101001,2,0,1,1,0,1,0,0,1
200001001,2,0,0,0,0,1,0,0,1
201111110,2,0,1,1,1,1,1,1,0
200001111,2,0,0,0,0,1,1,1,1
310110001,3,1,0,1,1,0,0,0,1
210001001,2,1,0,0,0,1,0,0,1
211001001,2,1,1,0,0,1,0,0,1
101111111,1,0,1,1,1,1,1,1,1
311100001,3,1,1,1,0,0,0,0,1
301000001,3,0,1,0,0,0,0,0,1
200111111,2,0,0,1,1,1,1,1,1
100000001,1,0,0,0,0,0,0,0,1
200011110,2,0,0,0,1,1,1,1,0
111111000,1,1,1,1,1,1,0,0,0
200011111,2,0,0,0,1,1,1,1,1
200001101,2,0,0,0,0,1,1,0,1
201101111,2,0,1,1,0,1,1,1,1
201001100,2,0,1,0,0,1,1,0,0
110000111,1,1,0,0,0,0,1,1,1
201111111,2,0,1,1,1,1,1,1,1
100100001,1,0,0,1,0,0,0,0,1
101100111,1,0,1,1,0,0,1,1,1
200101111,2,0,0,1,0,1,1,1,1
201001111,2,0,1,0,0,1,1,1,1
200101001,2,0,0,1,0,1,0,0,1
310111111,3,1,0,1,1,1,1,1,1
301111111,3,0,1,1,1,1,1,1,1
111100001,1,1,1,1,0,0,0,0,1
110010001,1,1,0,0,1,0,0,0,1
200000011,2,0,0,0,0,0,0,1,1
111111111,1,1,1,1,1,1,1,1,1
110010111,1,1,0,0,1,0,1,1,1
201000110,2,0,1,0,0,0,1,1,0
211010001,2,1,1,0,1,0,0,0,1
100111111,1,0,0,1,1,1,1,1,1
201001001,2,0,1,0,0,1,0,0,1
201111101,2,0,1,1,1,1,1,0,1
201000001,2,0,1,0,0,0,0,0,1
201100001,2,0,1,1,0,0,0,0,1
210111101,2,1,0,1,1,1,1,0,1
210000001,2,1,0,0,0,0,0,0,1
310010001,3,1,0,0,1,0,0,0,1
111001101,1,1,1,0,0,1,1,0,1
211011111,2,1,1,0,1,1,1,1,1
200000110,2,0,0,0,0,0,1,1,0
200000101,2,0,0,0,0,0,1,0,1
210100000,2,1,0,1,0,0,0,0,0
210001111,2,1,0,0,0,1,1,1,1
210111111,2,1,0,1,1,1,1,1,1
301001111,3,0,1,0,0,1,1,1,1
211100000,2,1,1,1,0,0,0,0,0
201100011,2,0,1,1,0,0,0,1,1
200100111,2,0,0,1,0,0,1,1,1
110001111,1,1,0,0,0,1,1,1,1
300000011,3,0,0,0,0,0,0,1,1
201000111,2,0,1,0,0,0,1,1,1
100110001,1,0,0,1,1,0,0,0,1
111111001,1,1,1,1,1,1,0,0,1
200010001,2,0,0,0,1,0,0,0,1
110100111,1,1,0,1,0,0,1,1,1
211000000,2,1,1,0,0,0,0,0,0
211011001,2,1,1,0,1,1,0,0,1
101011111,1,0,1,0,1,1,1,1,1
311110111,3,1,1,1,1,0,1,1,1
200000111,2,0,0,0,0,0,1,1,1
101100011,1,0,1,1,0,0,0,1,1
310000001,3,1,0,0,0,0,0,0,1
300001011,3,0,0,0,0,1,0,1,1
300111111,3,0,0,1,1,1,1,1,1
210101111,2,1,0,1,0,1,1,1,1
311101111,3,1,1,1,0,1,1,1,1
100001001,1,0,0,0,0,1,0,0,1
300011110,3,0,0,0,1,1,1,1,0
100010001,1,0,0,0,1,0,0,0,1
111000001,1,1,1,0,0,0,0,0,1
100111001,1,0,0,1,1,1,0,0,1
101010110,1,0,1,0,1,0,1,1,0
101111001,1,0,1,1,1,1,0,0,1
100100110,1,0,0,1,0,0,1,1,0
110010000,1,1,0,0,1,0,0,0,0
201011101,2,0,1,0,1,1,1,0,1
101110001,1,0,1,1,1,0,0,0,1
200001110,2,0,0,0,0,1,1,1,0
311000000,3,1,1,0,0,0,0,0,0
200001010,2,0,0,0,0,1,0,1,0
101001001,1,0,1,0,0,1,0,0,1
211110111,2,1,1,1,1,0,1,1,1
210011111,2,1,0,0,1,1,1,1,1
200101110,2,0,0,1,0,1,1,1,0
201011111,2,0,1,0,1,1,1,1,1
311010000,3,1,1,0,1,0,0,0,0
201101110,2,0,1,1,0,1,1,1,0
200111110,2,0,0,1,1,1,1,1,0
200111101,2,0,0,1,1,1,1,0,1
201111001,2,0,1,1,1,1,0,0,1
111111110,1,1,1,1,1,1,1,1,0
200110001,2,0,0,1,1,0,0,0,1
110000000,1,1,0,0,0,0,0,0,0
300011011,3,0,0,0,1,1,0,1,1
111010011,1,1,1,0,1,0,0,1,1
200010111,2,0,0,0,1,0,1,1,1
111101111,1,1,1,1,0,1,1,1,1
101010011,1,0,1,0,1,0,0,1,1
210101110,2,1,0,1,0,1,1,1,0
211101111,2,1,1,1,0,1,1,1,1
100001000,1,0,0,0,0,1,0,0,0
110110001,1,1,0,1,1,0,0,0,1
200101101,2,0,0,1,0,1,1,0,1
201000000,2,0,1,0,0,0,0,0,0
301110001,3,0,1,1,1,0,0,0,1
101101111,1,0,1,1,0,1,1,1,1
201110111,2,0,1,1,1,0,1,1,1
211111101,2,1,1,1,1,1,1,0,1
310100110,3,1,0,1,0,0,1,1,0
201010001,2,0,1,0,1,0,0,0,1
111011111,1,1,1,0,1,1,1,1,1
300110000,3,0,0,1,1,0,0,0,0
201110001,2,0,1,1,1,0,0,0,1
100000110,1,0,0,0,0,0,1,1,0
100101111,1,0,0,1,0,1,1,1,1
100001111,1,0,0,0,0,1,1,1,1
210111001,2,1,0,1,1,1,0,0,1
300010001,3,0,0,0,1,0,0,0,1
200100000,2,0,0,1,0,0,0,0,0
310011111,3,1,0,0,1,1,1,1,1
200100101,2,0,0,1,0,0,1,0,1
200000000,2,0,0,0,0,0,0,0,0
211100001,2,1,1,1,0,0,0,0,1
111010001,1,1,1,0,1,0,0,0,1
201100000,2,0,1,1,0,0,0,0,0
101101001,1,0,1,1,0,1,0,0,1
111001111,1,1,1,0,0,1,1,1,1
310000111,3,1,0,0,0,0,1,1,1
300110001,3,0,0,1,1,0,0,0,1
111011001,1,1,1,0,1,1,0,0,1
200110111,2,0,0,1,1,0,1,1,1
111110111,1,1,1,1,1,0,1,1,1
211111001,2,1,1,1,1,1,0,0,1
210110111,2,1,0,1,1,0,1,1,1
211100011,2,1,1,1,0,0,0,1,1
301000111,3,0,1,0,0,0,1,1,1
211100111,2,1,1,1,0,0,1,1,1
311111001,3,1,1,1,1,1,0,0,1
310000000,3,1,0,0,0,0,0,0,0
301111011,3,0,1,1,1,1,0,1,1
310001111,3,1,0,0,0,1,1,1,1
110110111,1,1,0,1,1,0,1,1,1
210010110,2,1,0,0,1,0,1,1,0
310001001,3,1,0,0,0,1,0,0,1
310111001,3,1,0,1,1,1,0,0,1
101011001,1,0,1,0,1,1,0,0,1
210000111,2,1,0,0,0,0,1,1,1
210000000,2,1,0,0,0,0,0,0,0
110111001,1,1,0,1,1,1,0,0,1
100000000,1,0,0,0,0,0,0,0,0
100110111,1,0,0,1,1,0,1,1,1
210010111,2,1,0,0,1,0,1,1,1
201100101,2,0,1,1,0,0,1,0,1
310011110,3,1,0,0,1,1,1,1,0
311100111,3,1,1,1,0,0,1,1,1
301010000,3,0,1,0,1,0,0,0,0
310110111,3,1,0,1,1,0,1,1,1
301111001,3,0,1,1,1,1,0,0,1
300011001,3,0,0,0,1,1,0,0,1
301111110,3,0,1,1,1,1,1,1,0
300000100,3,0,0,0,0,0,1,0,0
211000111,2,1,1,0,0,0,1,1,1
310101111,3,1,0,1,0,1,1,1,1
111010111,1,1,1,0,1,0,1,1,1
210010001,2,1,0,0,1,0,0,0,1
100001101,1,0,0,0,0,1,1,0,1
210101001,2,1,0,1,0,1,0,0,1
100100111,1,0,0,1,0,0,1,1,1
111100111,1,1,1,1,0,0,1,1,1
