Call_ID,Customer_Id,Agent,Date_Of_Call,Time_Of_Call,Resolved,Answered,Topic,Speed_of_answer_in_seconds,Duration,Satisfaction_rating
1,2727,Diane,2021-01-01,9:12:58 AM,1,1,Contract related,109,12:02:23 AM,3
2,1914,Becky,2021-01-01,9:12:58 AM,0,1,Technical Support,70,12:04:02 AM,3
3,2728,Stewart,2021-01-01,9:47:31 AM,1,1,Contract related,10,12:02:11 AM,3
4,2435,Greg,2021-01-01,9:47:31 AM,1,1,Contract related,53,12:00:37 AM,2
5,501,Becky,2021-01-01,10:00:29 AM,1,1,Payment related,95,12:01:00 AM,3
6,1143,Stewart,2021-01-01,10:00:29 AM,0,0,Technical Support,,,
7,2436,Diane,2021-01-01,10:22:05 AM,1,1,Payment related,24,12:03:40 AM,2
8,3678,Diane,2021-01-01,10:22:05 AM,1,1,Payment related,22,12:00:38 AM,4
9,3679,Greg,2021-01-01,11:13:55 AM,1,1,Admin Support,15,12:06:38 AM,4
10,2729,Jim,2021-01-01,11:13:55 AM,1,1,Streaming,78,12:01:04 AM,3
11,1144,Joe,2021-01-01,11:15:22 AM,0,0,Payment related,,,
12,3680,Greg,2021-01-01,11:15:22 AM,1,1,Payment related,50,12:00:32 AM,4
13,2730,Joe,2021-01-01,11:52:48 AM,1,1,Payment related,84,12:03:34 AM,3
14,2731,Martha,2021-01-01,11:52:48 AM,1,1,Contract related,89,12:05:44 AM,3
15,3681,Becky,2021-01-01,11:55:41 AM,1,1,Admin Support,48,12:03:47 AM,4
16,2437,Becky,2021-01-01,11:55:41 AM,1,1,Admin Support,63,12:05:26 AM,2
17,4610,Greg,2021-01-01,11:57:07 AM,1,1,Technical Support,45,12:05:32 AM,5
18,1145,Becky,2021-01-01,11:57:07 AM,0,0,Admin Support,,,
19,1146,Jim,2021-01-01,12:01:26 PM,0,0,Streaming,,,
20,502,Jim,2021-01-01,12:01:26 PM,1,1,Contract related,101,12:02:27 AM,3
21,4611,Jim,2021-01-01,12:02:53 PM,1,1,Technical Support,74,12:05:22 AM,5
22,4612,Dan,2021-01-01,12:02:53 PM,1,1,Admin Support,89,12:05:50 AM,5
23,1147,Martha,2021-01-01,12:02:53 PM,0,0,Technical Support,,,
24,438,Joe,2021-01-01,12:02:53 PM,1,1,Technical Support,68,12:05:25 AM,2
25,2732,Diane,2021-01-01,12:30:14 PM,1,1,Streaming,97,12:04:09 AM,3
26,1148,Dan,2021-01-01,12:30:14 PM,0,0,Payment related,,,
27,2733,Joe,2021-01-01,12:40:19 PM,1,1,Streaming,39,12:04:00 AM,3
28,3682,Martha,2021-01-01,12:40:19 PM,1,1,Contract related,51,12:02:34 AM,4
29,3683,Joe,2021-01-01,12:40:19 PM,1,1,Technical Support,106,12:02:09 AM,4
30,2734,Stewart,2021-01-01,12:40:19 PM,1,1,Streaming,107,12:05:55 AM,3
31,2735,Joe,2021-01-01,1:24:58 PM,1,1,Admin Support,22,12:05:08 AM,3
32,3684,Joe,2021-01-01,1:24:58 PM,1,1,Streaming,122,12:02:08 AM,4
33,2736,Diane,2021-01-01,1:33:36 PM,1,1,Technical Support,57,12:06:49 AM,3
34,1887,Jim,2021-01-01,1:33:36 PM,0,1,Payment related,53,12:01:44 AM,2
35,4613,Becky,2021-01-01,1:42:14 PM,1,1,Streaming,119,12:01:31 AM,5
36,1,Diane,2021-01-01,1:42:14 PM,0,0,Streaming,,,
37,245,Martha,2021-01-01,1:42:14 PM,0,1,Technical Support,20,12:01:12 AM,2
38,2737,Joe,2021-01-01,1:42:14 PM,1,1,Technical Support,52,12:00:36 AM,3
39,2157,Stewart,2021-01-01,2:38:24 PM,1,1,Contract related,74,12:06:41 AM,1
40,2738,Greg,2021-01-01,2:38:24 PM,1,1,Technical Support,49,12:02:29 AM,3
41,4614,Jim,2021-01-01,2:47:02 PM,1,1,Technical Support,27,12:02:09 AM,5
42,4615,Greg,2021-01-01,2:47:02 PM,1,1,Contract related,100,12:04:54 AM,5
43,503,Diane,2021-01-01,2:47:02 PM,1,1,Technical Support,45,12:06:21 AM,3
44,4616,Becky,2021-01-01,2:47:02 PM,1,1,Payment related,98,12:03:14 AM,5
45,4617,Diane,2021-01-01,3:44:38 PM,1,1,Admin Support,25,12:05:13 AM,5
46,1149,Jim,2021-01-01,3:44:38 PM,0,0,Contract related,,,
47,2739,Dan,2021-01-01,5:13:55 PM,1,1,Admin Support,107,12:02:22 AM,3
48,1150,Martha,2021-01-01,5:13:55 PM,0,0,Contract related,,,
49,4618,Joe,2021-01-01,5:25:26 PM,1,1,Technical Support,104,12:03:35 AM,5
50,1151,Dan,2021-01-01,5:25:26 PM,0,0,Technical Support,,,
51,1152,Martha,2021-01-01,5:35:31 PM,0,0,Contract related,,,
52,1153,Jim,2021-01-01,5:35:31 PM,0,0,Admin Support,,,
53,4619,Stewart,2021-01-01,5:36:58 PM,1,1,Payment related,13,12:01:15 AM,5
54,4620,Dan,2021-01-01,5:36:58 PM,1,1,Payment related,119,12:02:32 AM,5
55,2740,Becky,2021-01-01,5:44:10 PM,1,1,Streaming,35,12:01:19 AM,3
56,3685,Dan,2021-01-01,5:44:10 PM,1,1,Streaming,83,12:06:45 AM,4
57,2438,Jim,2021-01-01,5:57:07 PM,1,1,Technical Support,48,12:02:52 AM,2
58,4621,Stewart,2021-01-01,5:57:07 PM,1,1,Admin Support,45,12:03:23 AM,5
59,4622,Dan,2021-01-02,9:05:46 AM,1,1,Technical Support,65,12:06:00 AM,5
60,2741,Dan,2021-01-02,9:05:46 AM,1,1,Contract related,50,12:04:26 AM,3
61,2742,Diane,2021-01-02,9:18:43 AM,1,1,Streaming,17,12:06:15 AM,3
62,1154,Joe,2021-01-02,9:18:43 AM,0,0,Technical Support,,,
63,2158,Dan,2021-01-02,9:20:10 AM,1,1,Streaming,96,12:06:46 AM,1
64,504,Stewart,2021-01-02,9:20:10 AM,1,1,Streaming,90,12:06:23 AM,3
65,2439,Jim,2021-01-02,9:38:53 AM,1,1,Contract related,98,12:06:25 AM,2
66,286,Diane,2021-01-02,9:38:53 AM,0,1,Technical Support,90,12:01:23 AM,4
67,4623,Jim,2021-01-02,10:04:48 AM,1,1,Contract related,98,12:05:49 AM,5
68,4624,Jim,2021-01-02,10:04:48 AM,1,1,Contract related,70,12:03:12 AM,5
69,3686,Diane,2021-01-02,10:33:36 AM,1,1,Contract related,69,12:04:45 AM,4
70,1155,Diane,2021-01-02,10:33:36 AM,0,0,Admin Support,,,
71,3687,Joe,2021-01-02,11:08:10 AM,1,1,Technical Support,120,12:02:11 AM,4
72,778,Stewart,2021-01-02,11:08:10 AM,1,1,Admin Support,113,12:05:51 AM,5
73,315,Greg,2021-01-02,11:26:53 AM,0,1,Payment related,10,12:02:19 AM,5
74,341,Becky,2021-01-02,11:26:53 AM,1,1,Contract related,122,12:04:53 AM,1
75,1915,Stewart,2021-01-02,11:42:43 AM,0,1,Technical Support,125,12:01:38 AM,3
76,1156,Diane,2021-01-02,11:42:43 AM,0,0,Admin Support,,,
77,2440,Martha,2021-01-02,11:47:02 AM,1,1,Technical Support,33,12:06:38 AM,2
78,439,Dan,2021-01-02,11:47:02 AM,1,1,Contract related,51,12:06:22 AM,2
79,2743,Becky,2021-01-02,11:54:14 AM,1,1,Contract related,58,12:03:28 AM,3
80,4625,Dan,2021-01-02,11:54:14 AM,1,1,Admin Support,121,12:04:47 AM,5
81,3688,Diane,2021-01-02,12:00:00 PM,1,1,Admin Support,118,12:02:06 AM,4
82,3689,Greg,2021-01-02,12:00:00 PM,1,1,Payment related,52,12:06:56 AM,4
83,2744,Stewart,2021-01-02,12:20:10 PM,1,1,Admin Support,55,12:04:44 AM,3
84,3690,Dan,2021-01-02,12:20:10 PM,1,1,Contract related,68,12:05:59 AM,4
85,4626,Becky,2021-01-02,12:41:46 PM,1,1,Technical Support,106,12:04:22 AM,5
86,2745,Martha,2021-01-02,12:41:46 PM,1,1,Technical Support,32,12:04:36 AM,3
87,1157,Jim,2021-01-02,12:44:38 PM,0,0,Payment related,,,
88,1999,Martha,2021-01-02,12:44:38 PM,0,1,Admin Support,45,12:01:26 AM,4
89,3691,Joe,2021-01-02,12:59:02 PM,1,1,Technical Support,119,12:03:32 AM,4
90,2,Dan,2021-01-02,12:59:02 PM,0,0,Streaming,,,
91,2159,Jim,2021-01-02,1:03:22 PM,1,1,Contract related,46,12:05:41 AM,1
92,2746,Stewart,2021-01-02,1:03:22 PM,1,1,Technical Support,101,12:01:28 AM,3
93,2747,Jim,2021-01-02,1:04:48 PM,1,1,Technical Support,56,12:02:52 AM,3
94,2748,Becky,2021-01-02,1:04:48 PM,1,1,Technical Support,80,12:00:53 AM,3
95,2749,Diane,2021-01-02,1:13:26 PM,1,1,Streaming,24,12:01:36 AM,3
96,2441,Stewart,2021-01-02,1:13:26 PM,1,1,Payment related,113,12:03:54 AM,2
97,3692,Greg,2021-01-02,1:20:38 PM,1,1,Contract related,19,12:02:03 AM,4
98,3,Martha,2021-01-02,1:20:38 PM,0,0,Streaming,,,
99,2750,Dan,2021-01-02,1:20:38 PM,1,1,Contract related,45,12:06:37 AM,3
100,342,Diane,2021-01-02,1:20:38 PM,1,1,Technical Support,95,12:05:11 AM,1
101,1158,Becky,2021-01-02,1:45:07 PM,0,0,Technical Support,,,
102,234,Martha,2021-01-02,1:45:07 PM,0,1,Technical Support,79,12:05:31 AM,1
103,2442,Diane,2021-01-02,1:49:26 PM,1,1,Payment related,22,12:03:56 AM,2
104,343,Martha,2021-01-02,1:49:26 PM,1,1,Contract related,38,12:06:36 AM,1
105,4627,Becky,2021-01-02,1:53:46 PM,1,1,Technical Support,112,12:03:25 AM,5
106,505,Becky,2021-01-02,1:53:46 PM,1,1,Payment related,65,12:04:57 AM,3
107,1159,Joe,2021-01-02,2:22:34 PM,0,0,Streaming,,,
108,235,Becky,2021-01-02,2:22:34 PM,0,1,Contract related,55,12:02:32 AM,1
109,1160,Stewart,2021-01-02,2:52:48 PM,0,0,Admin Support,,,
110,440,Joe,2021-01-02,2:52:48 PM,1,1,Streaming,19,12:02:38 AM,2
111,506,Becky,2021-01-02,3:10:05 PM,1,1,Technical Support,53,12:00:56 AM,3
112,4628,Diane,2021-01-02,3:10:05 PM,1,1,Technical Support,24,12:06:06 AM,5
113,507,Martha,2021-01-02,3:36:00 PM,1,1,Streaming,73,12:06:01 AM,3
114,1161,Stewart,2021-01-02,3:36:00 PM,0,0,Technical Support,,,
115,4629,Jim,2021-01-02,5:36:58 PM,1,1,Technical Support,55,12:05:47 AM,5
116,1162,Greg,2021-01-02,5:36:58 PM,0,0,Payment related,,,
117,4,Diane,2021-01-02,5:47:02 PM,0,0,Streaming,,,
118,3693,Martha,2021-01-02,5:47:02 PM,1,1,Streaming,23,12:05:18 AM,4
119,316,Dan,2021-01-03,9:10:05 AM,0,1,Payment related,124,12:02:23 AM,5
120,1163,Dan,2021-01-03,9:10:05 AM,0,0,Contract related,,,
121,3694,Dan,2021-01-03,9:47:31 AM,1,1,Technical Support,103,12:01:01 AM,4
122,656,Martha,2021-01-03,9:47:31 AM,1,1,Contract related,69,12:03:45 AM,4
123,2751,Joe,2021-01-03,10:29:17 AM,1,1,Streaming,78,12:01:12 AM,3
124,4630,Martha,2021-01-03,10:29:17 AM,1,1,Technical Support,78,12:03:26 AM,5
125,1164,Martha,2021-01-03,10:37:55 AM,0,0,Technical Support,,,
126,3695,Diane,2021-01-03,10:37:55 AM,1,1,Payment related,44,12:05:38 AM,4
127,3696,Martha,2021-01-03,10:52:19 AM,1,1,Admin Support,35,12:02:46 AM,4
128,3697,Becky,2021-01-03,10:52:19 AM,1,1,Admin Support,102,12:05:26 AM,4
129,2752,Jim,2021-01-03,10:52:19 AM,1,1,Contract related,99,12:05:51 AM,3
130,2753,Jim,2021-01-03,10:52:19 AM,1,1,Admin Support,29,12:04:09 AM,3
131,2096,Becky,2021-01-03,10:58:05 AM,0,1,Admin Support,42,12:00:59 AM,5
132,3698,Diane,2021-01-03,10:58:05 AM,1,1,Payment related,113,12:05:40 AM,4
133,2443,Dan,2021-01-03,11:02:24 AM,1,1,Admin Support,124,12:00:53 AM,2
134,5,Jim,2021-01-03,11:02:24 AM,0,0,Technical Support,,,
135,2160,Dan,2021-01-03,11:03:50 AM,1,1,Payment related,55,12:02:13 AM,1
136,259,Greg,2021-01-03,11:03:50 AM,0,1,Technical Support,105,12:05:59 AM,3
137,317,Stewart,2021-01-03,11:06:43 AM,0,1,Contract related,112,12:03:12 AM,5
138,1165,Martha,2021-01-03,11:06:43 AM,0,0,Contract related,,,
139,4631,Becky,2021-01-03,11:16:48 AM,1,1,Technical Support,43,12:06:20 AM,5
140,2754,Joe,2021-01-03,11:16:48 AM,1,1,Payment related,20,12:01:44 AM,3
141,4632,Greg,2021-01-03,11:26:53 AM,1,1,Technical Support,84,12:01:43 AM,5
142,3699,Jim,2021-01-03,11:26:53 AM,1,1,Contract related,20,12:02:44 AM,4
