Customer_ID,Location_ID,Status_ID,Churn_reason_ID,Contract_ID,Number_Of_Referrals,Referred_A_Friend,Gender,Age,Married,Dependents,Number_Of_Dependents,Quarter,Tenure_In_Months,Offer,Paperless_Billing,Payment_Method,Monthly_Charge,Total_Charges,Total_Refunds,Total_Revenue,CLTV,Churn_Score,Satisfaction_Score
1,1,2,,2,2,1,Female,37,1,0,0,Q3,9,None,1,Credit Card,65.6,593.3,0,974.81,2205,65,3
2,2,2,,1,0,0,Male,46,0,0,0,Q3,9,None,0,Credit Card,59.9,542.4,38.33,610.28,5414,66,5
3,3,3,5,1,0,0,Male,50,0,0,0,Q3,4,Offer E,1,Bank Withdrawal,73.9,280.85,0,415.45,4479,71,1
4,4,3,9,1,1,1,Male,78,1,0,0,Q3,13,Offer D,1,Bank Withdrawal,98,1237.85,0,1599.51,3714,91,1
5,5,3,13,1,3,1,Female,75,1,0,0,Q3,3,None,1,Credit Card,83.9,267.4,0,289.54,3464,68,1
6,6,2,,1,0,0,Female,23,0,1,3,Q3,9,Offer E,1,Credit Card,69.4,571.45,0,722.38,5108,55,3
7,7,2,,3,1,1,Female,67,1,0,0,Q3,71,Offer A,1,Bank Withdrawal,109.7,7904.25,0,8611.41,5011,26,3
8,8,2,,3,8,1,Male,52,1,0,0,Q3,63,Offer B,1,Credit Card,84.65,5377.8,0,6214.28,4604,49,4
9,9,2,,3,0,0,Female,68,0,0,0,Q3,7,Offer E,1,Bank Withdrawal,48.2,340.35,0,414.06,5525,34,3
10,10,2,,3,3,1,Female,43,1,1,1,Q3,65,None,1,Credit Card,90.45,5957.9,0,7807.8,5509,25,3
11,11,2,,3,0,0,Male,47,0,0,0,Q3,54,None,0,Credit Card,45.2,2460.55,0,2460.55,5435,54,4
12,12,2,,3,2,1,Female,25,1,1,2,Q3,72,None,1,Credit Card,116.8,8456.75,0,9609.47,6252,52,3
