Customer_ID,Internet_Service_ID,Online_Security,Online_Backup,Device_Pro_Plan,Premium_TSupport,Streaming_TV,Streaming_Movies,Streaming_Music,Unlimited_Data,Avg_Monthly_GB,Total_Extra_Data_Charges
1,3,0,1,0,1,1,0,0,1,16,0
2,3,0,0,0,0,0,1,1,0,10,10
3,2,0,0,1,0,0,0,0,1,30,0
4,2,0,1,1,0,1,1,0,1,4,0
5,2,0,0,0,1,1,0,0,1,11,0
6,3,0,0,0,1,1,1,1,1,73,0
7,2,1,1,1,1,1,1,1,1,14,0
8,2,1,0,0,1,0,0,0,0,7,20
9,1,1,0,0,0,0,0,0,1,21,0
10,3,1,1,1,1,1,1,1,1,14,0
11,3,1,0,0,1,1,0,0,1,10,0
12,2,1,1,1,1,1,1,1,1,59,0
13,2,0,0,0,0,0,0,0,1,10,0
14,2,1,1,1,0,1,0,0,1,16,0
15,1,1,1,1,1,0,0,0,1,19,0
16,2,0,1,1,0,0,1,1,1,12,0
17,1,1,0,1,1,1,1,1,1,20,0
18,2,0,0,0,0,0,0,0,1,22,0
19,1,1,0,1,0,0,1,0,1,17,0
20,3,0,0,0,0,0,0,0,1,9,0
21,4,0,0,0,0,0,0,0,0,0,0
22,2,0,1,1,0,1,0,0,1,52,0
23,2,0,0,0,0,1,0,0,1,30,0
24,4,0,0,0,0,0,0,0,0,0,0
25,4,0,0,0,0,0,0,0,0,0,0
26,1,1,0,0,0,0,0,0,1,19,0
27,2,0,1,1,1,1,1,1,0,57,20
28,4,0,0,0,0,0,0,0,0,0,0
29,4,0,0,0,0,0,0,0,0,0,0
30,4,0,0,0,0,0,0,0,0,0,0
31,2,0,0,0,0,1,1,1,1,51,0
32,4,0,0,0,0,0,0,0,0,0,0
33,2,1,1,1,1,1,1,1,1,41,0
34,4,0,0,0,0,0,0,0,0,0,0
35,3,1,0,1,1,0,0,0,1,22,0
36,4,0,0,0,0,0,0,0,0,0,0
37,2,1,0,0,0,1,0,0,1,9,0
38,2,1,1,0,0,1,0,0,1,14,0
39,4,0,0,0,0,0,0,0,0,0,0
40,2,0,0,0,0,0,0,0,1,23,0
41,1,1,0,0,0,0,0,0,1,27,0
42,1,0,1,1,1,1,1,1,1,59,0
43,4,0,0,0,0,0,0,0,0,0,0
44,3,1,1,1,0,0,0,0,1,19,0
45,1,1,1,1,1,0,0,0,1,21,0
46,1,0,1,1,1,1,1,1,1,52,0
47,3,0,1,0,0,0,0,0,1,12,0
48,2,0,0,1,1,1,1,1,1,2,0
49,1,0,0,0,0,0,0,0,1,9,0
50,2,0,0,0,1,1,1,1,0,17,20
51,1,1,1,1,1,1,0,0,0,69,40
52,2,0,0,0,1,1,1,1,1,53,0
53,2,0,0,0,0,1,1,0,1,23,0
54,2,0,1,1,0,1,1,1,1,15,0
55,2,0,1,0,0,1,1,0,0,29,120
56,3,0,0,0,0,0,0,0,1,85,0
57,1,1,0,0,0,0,1,1,1,15,0
58,4,0,0,0,0,0,0,0,0,0,0
59,2,0,1,1,0,1,1,0,1,28,0
60,2,0,1,1,1,1,1,1,1,73,0
61,1,0,0,1,0,0,0,0,1,18,0
62,1,0,1,1,0,0,1,1,1,48,0
63,2,1,1,1,1,1,1,1,1,27,0
64,4,0,0,0,0,0,0,0,0,0,0
65,2,0,0,1,0,1,1,1,1,25,0
66,2,0,1,0,0,1,1,1,1,23,0
67,2,0,0,1,0,1,0,0,1,12,0
68,3,1,0,1,1,1,1,1,1,10,0
69,3,0,1,1,1,1,1,1,1,29,0
70,2,0,1,1,0,1,1,1,1,12,0
71,4,0,0,0,0,0,0,0,0,0,0
72,2,0,1,1,1,1,1,1,0,59,120
73,1,1,1,1,0,0,0,0,1,23,0
74,2,1,0,0,0,1,0,0,1,7,0
75,1,1,0,0,1,0,0,0,1,7,0
76,2,0,0,0,0,0,0,1,1,26,0
77,1,1,1,1,1,1,1,1,1,28,0
78,2,0,0,1,1,1,1,1,1,12,0
79,1,1,0,0,1,0,1,1,1,19,0
80,2,0,0,1,0,1,1,1,1,23,0
81,4,0,0,0,0,0,0,0,0,0,0
82,2,0,1,0,0,0,1,1,0,8,40
83,2,1,1,0,1,0,0,0,1,16,0
84,1,0,0,1,1,1,1,1,1,17,0
85,2,0,1,0,0,1,0,0,1,6,0
86,2,0,1,1,1,1,1,0,1,17,0
87,2,0,1,0,0,0,0,0,1,69,0
88,4,0,0,0,0,0,0,0,0,0,0
89,2,1,1,0,0,1,0,0,1,53,0
90,2,0,1,1,0,0,0,0,1,4,0
91,4,0,0,0,0,0,0,0,0,0,0
92,2,0,0,0,1,1,1,1,1,21,0
93,2,0,0,0,0,1,1,1,1,8,0
94,2,0,0,0,0,0,0,0,1,23,0
95,1,1,0,0,1,0,0,0,1,21,0
96,2,1,1,1,1,1,1,1,1,5,0
97,4,0,0,0,0,0,0,0,0,0,0
98,2,0,0,0,0,1,0,0,1,16,0
99,4,0,0,0,0,0,0,0,0,0,0
100,2,1,0,1,1,1,1,0,1,20,0
101,4,0,0,0,0,0,0,0,0,0,0
102,2,0,1,0,0,1,0,0,1,13,0
103,2,1,1,1,1,1,1,1,1,20,0
104,2,1,1,1,1,1,1,1,1,48,0
105,2,0,0,0,0,1,1,1,1,11,0
106,2,1,0,0,0,0,0,0,1,28,0
107,4,0,0,0,0,0,0,0,0,0,0
108,3,1,0,0,1,0,0,0,1,75,0
109,1,1,1,0,0,1,1,0,1,5,0
110,2,1,1,0,1,1,1,1,1,19,0
111,2,0,0,0,0,0,1,1,0,82,100
112,2,0,0,0,0,0,0,0,1,28,0
113,2,0,0,0,0,0,1,0,1,17,0
114,2,1,0,1,0,0,0,0,0,16,40
115,2,1,0,0,0,1,1,1,1,20,0
116,2,1,1,1,1,1,1,1,1,52,0
117,4,0,0,0,0,0,0,0,0,0,0
118,4,0,0,0,0,0,0,0,0,0,0
119,2,1,1,1,1,1,1,1,1,26,0
120,2,1,0,1,1,1,1,1,1,7,0
121,4,0,0,0,0,0,0,0,0,0,0
122,3,0,1,0,0,1,1,1,1,22,0
123,3,0,1,1,1,1,1,1,1,85,0
124,2,1,1,1,0,0,0,0,0,20,130
125,2,0,1,0,0,1,1,1,1,59,0
126,4,0,0,0,0,0,0,0,0,0,0
127,2,0,1,1,0,0,0,1,1,19,0
128,2,0,0,1,0,0,1,1,1,28,0
129,4,0,0,0,0,0,0,0,0,0,0
130,2,1,0,0,0,0,0,0,1,29,0
131,1,1,0,0,0,1,1,1,1,19,0
132,3,0,0,0,0,0,0,1,1,85,0
133,4,0,0,0,0,0,0,0,0,0,0
134,3,0,0,0,0,0,0,0,1,22,0
135,2,0,1,0,0,0,1,1,1,26,0
136,1,0,0,1,1,0,0,0,1,18,0
137,1,1,1,1,1,0,0,0,1,13,0
138,1,1,0,0,1,0,0,0,1,7,0
139,1,1,1,1,1,1,0,0,1,29,0
140,2,0,0,0,1,0,0,0,1,27,0
141,2,0,0,1,0,0,0,0,1,48,0
142,1,1,0,1,0,0,1,1,1,22,0
143,2,0,0,1,0,1,0,0,1,4,0
144,2,0,0,0,0,1,1,1,1,15,0
145,2,1,1,0,1,1,1,1,1,13,0
146,3,1,1,1,1,1,1,1,1,30,0
147,2,1,1,0,0,0,0,0,0,21,100
148,1,1,1,1,1,1,1,1,1,19,0
149,4,0,0,0,0,0,0,0,0,0,0
150,3,0,0,0,0,0,0,0,1,51,0
151,2,1,1,0,1,1,0,0,1,21,0
152,1,0,1,0,1,1,1,1,1,27,0
153,2,1,1,1,1,1,1,1,1,73,0
154,3,1,1,1,1,0,1,1,1,24,0
155,3,0,1,0,0,0,0,0,1,28,0
156,2,0,0,0,0,0,1,1,1,13,0
157,1,0,1,1,0,0,0,1,1,51,0
158,3,1,0,0,0,0,0,0,1,25,0
159,2,0,1,1,0,0,1,1,1,73,0
160,3,0,0,0,0,1,0,1,1,27,0
161,3,0,0,1,1,1,1,1,1,11,0
162,3,1,0,0,1,1,0,0,1,28,0
163,4,0,0,0,0,0,0,0,0,0,0
164,2,0,0,0,0,0,0,0,1,10,0
165,2,1,0,1,0,1,1,1,1,76,0
166,2,0,0,1,1,1,1,1,1,22,0
167,2,1,1,1,1,1,1,1,1,13,0
168,4,0,0,0,0,0,0,0,0,0,0
169,4,0,0,0,0,0,0,0,0,0,0
170,1,1,1,1,1,0,0,0,1,18,0
171,3,1,1,1,0,1,1,1,1,47,0
172,1,0,0,0,0,1,0,0,1,57,0
173,3,0,0,0,1,1,1,1,0,23,110
174,4,0,0,0,0,0,0,0,0,0,0
175,2,0,1,1,0,1,1,1,1,11,0
176,4,0,0,0,0,0,0,0,0,0,0
177,1,0,0,0,1,0,0,0,1,14,0
178,1,1,1,0,0,0,0,0,1,53,0
179,1,1,1,1,0,0,0,0,1,20,0
180,1,0,1,1,1,1,1,1,1,12,0
181,2,0,0,0,0,1,1,1,1,2,0
182,1,0,0,1,1,1,0,0,1,5,0
183,1,0,1,0,1,0,1,1,0,6,60
184,1,0,1,1,1,1,0,0,1,17,0
185,1,1,1,1,1,1,1,1,1,22,0
186,4,0,0,0,0,0,0,0,0,0,0
187,2,0,1,1,0,1,1,1,1,6,0
188,1,0,0,1,0,0,1,1,0,30,140
189,4,0,0,0,0,0,0,0,0,0,0
190,1,1,0,0,1,0,0,0,0,17,100
191,2,0,0,0,1,1,1,1,1,11,0
192,4,0,0,0,0,0,0,0,0,0,0
193,2,0,1,0,1,1,1,0,1,9,0
194,1,0,1,1,1,0,0,0,1,59,0
195,2,0,1,0,0,1,1,1,1,7,0
196,3,1,1,1,1,1,1,1,1,6,0
197,4,0,0,0,0,0,0,0,0,0,0
198,1,1,0,0,0,0,0,0,1,8,0
199,2,0,0,0,0,1,1,1,0,22,50
