Phone_Service_ID,Customer_ID,Multiple_Lines,Avg_Monthly_Long_Distance_Charges,Total_Long_Distance_Charges
1,1,0,42.39,381.51
2,2,1,10.69,96.21
3,3,0,33.65,134.6
4,4,0,27.82,361.66
5,5,0,7.38,22.14
6,6,0,16.77,150.93
7,7,0,9.96,707.16
8,8,1,12.96,816.48
9,9,0,10.53,73.71
10,10,1,28.46,1849.9
11,11,0,0,0
12,12,1,16.01,1152.72
13,13,0,18.65,93.25
14,14,1,2.25,162
15,15,0,0,0
16,16,1,27.26,1935.46
17,17,0,0,0
18,18,1,7.77,7.77
19,19,0,10.67,480.15
20,20,0,0,0
21,21,1,31.43,1571.5
22,22,1,43.56,566.28
23,23,1,34.91,802.93
24,24,0,3.12,9.36
25,25,0,12.43,49.72
26,26,0,0,0
27,27,0,35.04,1927.2
28,28,0,19.7,1063.8
29,29,0,37.7,980.2
30,30,0,38.39,2648.91
31,31,0,43.01,1591.37
32,32,0,49.58,2429.42
33,33,1,43.77,2888.82
34,34,0,23.12,1549.04
35,35,0,0,0
36,36,1,30.64,1317.52
37,37,1,5.08,279.4
38,38,1,16.39,967.01
39,39,0,19.28,231.36
40,40,1,25.26,682.02
41,41,0,43.99,87.98
42,42,0,48.91,1320.57
43,43,1,23.69,592.25
44,44,0,6.45,161.25
45,45,0,0,0
46,46,1,32.36,2329.92
47,47,0,24.04,336.56
48,48,0,36.42,1274.7
49,49,0,42.95,42.95
50,50,0,2.05,59.45
51,51,1,5.49,351.36
52,52,1,24.38,950.82
53,53,0,44.14,1765.6
54,54,1,37.69,1507.6
55,55,0,11.59,127.49
56,56,1,42.66,255.96
57,57,1,2.64,79.2
58,58,0,20.66,557.82
59,59,1,39.49,2764.3
60,60,1,8.01,456.57
61,61,0,18.37,1065.46
62,62,1,25.71,411.36
63,63,1,38.52,2657.88
64,64,0,31.77,31.77
65,65,1,40.71,40.71
66,66,0,31.86,1019.52
67,67,1,48.71,779.36
68,68,1,39.55,1937.95
69,69,0,0,0
70,70,1,49.69,1639.77
71,71,0,49.6,496
72,72,1,36.26,761.46
73,73,0,0,0
74,74,0,33.74,877.24
75,75,0,0,0
76,76,1,28.62,200.34
77,77,1,47.19,2878.59
78,78,0,45.92,688.8
79,79,0,0,0
80,80,0,33.22,2391.84
81,81,0,27.4,1205.6
82,82,1,48.78,3219.48
83,83,0,36.81,73.62
84,84,0,7.72,339.68
85,85,1,14.38,172.56
86,86,1,18.41,1270.29
87,87,1,1.23,1.23
88,88,0,25.75,77.25
89,89,0,4.65,9.3
90,90,1,2.97,80.19
91,91,0,13.34,346.84
92,92,1,20.15,785.85
93,93,1,34.88,872
94,94,0,39.81,39.81
95,95,0,27.24,599.28
96,96,1,48.37,3482.64
97,97,0,10.64,255.36
98,98,1,7.84,148.96
99,99,1,9.2,653.2
100,100,1,25.15,829.95
101,101,0,2.69,8.07
102,102,1,1.09,51.23
103,103,0,1.76,109.12
104,104,1,2.88,204.48
105,105,0,41.97,293.79
106,106,0,46.66,1259.82
107,107,0,1.81,3.62
108,108,0,0,0
109,109,0,38.61,1158.3
110,110,0,16.94,982.52
111,111,1,2.02,20.2
112,112,1,9.27,83.43
113,113,1,28.71,172.26
114,114,1,38.92,2685.48
115,115,1,10.45,689.7
116,116,1,10.21,714.7
117,117,1,5.57,139.25
118,118,0,24.33,1119.18
119,119,1,11.4,615.6
120,120,0,22.39,335.85
121,121,0,8.25,99
122,122,0,0,0
123,123,0,0,0
124,124,0,24.73,741.9
125,125,1,28.34,2012.14
126,126,0,9.81,294.3
127,127,1,28.77,115.08
128,128,0,14.14,28.28
129,129,0,7.86,78.6
130,130,0,36.4,145.6
131,131,0,0,0
132,132,1,22.01,110.05
133,133,0,2.87,22.96
134,134,0,23.91,47.82
135,135,0,13.72,41.16
136,136,1,11.85,225.15
137,137,1,3.66,263.52
138,138,0,0,0
139,139,0,0,0
140,140,0,44.56,44.56
141,141,1,15.29,917.4
142,142,0,0,0
143,143,0,33.34,33.34
144,144,1,48.93,733.95
145,145,1,34.57,1728.5
146,146,1,33.75,2430
147,147,1,43.27,1990.42
148,148,1,30,2160
149,149,0,34.28,34.28
150,150,1,29.13,29.13
151,151,0,2.57,172.19
152,152,1,8.94,429.12
153,153,0,41.91,3017.52
154,154,1,41.34,2149.68
155,155,0,46.9,3142.3
156,156,0,16.85,471.8
157,157,1,33.28,1064.96
158,158,0,7.02,189.54
159,159,0,31.48,94.44
160,160,1,40.43,80.86
161,161,0,35.49,319.41
162,162,1,44.49,2224.5
163,163,0,31.03,2203.13
164,164,1,47.34,1514.88
165,165,0,27.27,436.32
166,166,1,17.79,1191.93
167,167,1,15.94,1147.68
168,168,0,24.63,73.89
169,169,1,48.02,1104.46
170,170,1,28.37,2042.64
171,171,0,0,0
172,172,0,1.56,12.48
173,173,0,0,0
174,174,0,34.26,171.3
175,175,1,44.33,2172.17
176,176,0,38.36,2416.68
177,177,0,0,0
178,178,0,36.19,977.13
179,179,0,44.81,1568.35
180,180,1,4.33,233.82
181,181,1,5.59,5.59
182,182,0,13.96,69.8
183,183,0,41.79,794.01
184,184,0,0,0
185,185,0,0,0
186,186,0,14.91,477.12
187,187,0,16.88,135.04
188,188,1,37.55,1539.55
189,189,0,21.01,105.05
190,190,0,0,0
191,191,0,31.09,155.45
192,192,0,41.51,664.16
193,193,1,6.1,433.1
194,194,0,0,0
195,195,1,49.33,3009.13
196,196,0,23.06,1637.26
197,197,0,40.74,366.66
198,198,0,39.16,234.96
199,199,0,38.09,990.34
200,200,0,6.98,41.88
201,201,0,30.57,336.27
202,202,0,43.67,43.67
203,203,0,2.82,138.18
204,204,0,11.47,34.41
205,205,0,43.57,2309.21
206,206,0,37.95,872.85
207,207,0,25.49,50.98
208,208,0,11.35,11.35
209,209,1,33.87,101.61
210,210,1,21.33,1450.44
211,211,0,19.49,155.92
212,212,1,16.66,1166.2
213,213,1,17.29,674.31
214,214,0,17.37,17.37
215,215,0,30.18,90.54
216,216,1,19.22,1153.2
217,217,0,17.08,85.4
218,218,1,9.22,27.66
219,219,1,35.38,1945.9
220,220,0,0,0
221,221,0,5.27,379.44
